"id","chembl_id"
817,"CHEMBL105912"
818,"CHEMBL3187562"
822,"CHEMBL2386520"
824,"CHEMBL1490851"
857,"CHEMBL457049"
859,"CHEMBL1090553"
861,"CHEMBL3800510"
862,"CHEMBL464776"
863,"CHEMBL157101"
863,"CHEMBL295698"
863,"CHEMBL75"
865,"CHEMBL454847"
871,"CHEMBL2142890"
872,"CHEMBL600"
873,"CHEMBL240524"
875,"CHEMBL2110674"
879,"CHEMBL137743"
880,"CHEMBL3425986"
881,"CHEMBL3425987"
882,"CHEMBL30131"
885,"CHEMBL112"
886,"CHEMBL9419"
887,"CHEMBL454527"
890,"CHEMBL3183581"
893,"CHEMBL3577084"
895,"CHEMBL455056"
896,"CHEMBL508185"
897,"CHEMBL455518"
900,"CHEMBL256519"
901,"CHEMBL553851"
905,"CHEMBL556138"
910,"CHEMBL3793792"
915,"CHEMBL1917738"
917,"CHEMBL1765381"
917,"CHEMBL455056"
921,"CHEMBL540114"
923,"CHEMBL1305819"
924,"CHEMBL359887"
930,"CHEMBL523290"
932,"CHEMBL518538"
933,"CHEMBL1076802"
934,"CHEMBL507436"
937,"CHEMBL510651"
939,"CHEMBL250045"
940,"CHEMBL1713307"
952,"CHEMBL510297"
954,"CHEMBL3392006"
958,"CHEMBL515367"
959,"CHEMBL1990053"
959,"CHEMBL52606"
961,"CHEMBL251077"
968,"CHEMBL447217"
969,"CHEMBL445290"
970,"CHEMBL465222"
978,"CHEMBL3186375"
979,"CHEMBL505835"
980,"CHEMBL3195687"
980,"CHEMBL503883"
982,"CHEMBL447792"
984,"CHEMBL128197"
987,"CHEMBL129202"
989,"CHEMBL376949"
990,"CHEMBL517797"
993,"CHEMBL113940"
995,"CHEMBL1971906"
995,"CHEMBL3085397"
998,"CHEMBL2397520"
1000,"CHEMBL515220"
1003,"CHEMBL517941"
1006,"CHEMBL1976475"
1010,"CHEMBL1968658"
1011,"CHEMBL1818734"
1012,"CHEMBL518136"
1013,"CHEMBL500167"
1014,"CHEMBL1575074"
1017,"CHEMBL190755"
1020,"CHEMBL436993"
1022,"CHEMBL520114"
1023,"CHEMBL2380795"
1024,"CHEMBL1351619"
1025,"CHEMBL508581"
1027,"CHEMBL430628"
1030,"CHEMBL564759"
1032,"CHEMBL2270671"
1033,"CHEMBL308259"
1034,"CHEMBL405007"
1035,"CHEMBL419801"
1036,"CHEMBL129793"
1040,"CHEMBL514952"
1043,"CHEMBL509227"
1048,"CHEMBL522144"
1051,"CHEMBL502703"
1052,"CHEMBL338240"
1057,"CHEMBL516669"
1059,"CHEMBL420772"
1062,"CHEMBL515692"
1064,"CHEMBL463064"
1066,"CHEMBL462975"
1067,"CHEMBL463554"
1068,"CHEMBL448572"
1069,"CHEMBL523730"
1070,"CHEMBL445435"
1071,"CHEMBL465226"
1072,"CHEMBL484246"
1073,"CHEMBL474466"
1074,"CHEMBL464115"
1075,"CHEMBL472848"
1076,"CHEMBL450421"
1077,"CHEMBL508620"
1078,"CHEMBL448016"
1079,"CHEMBL525987"
1080,"CHEMBL503133"
1081,"CHEMBL449565"
1082,"CHEMBL447412"
1083,"CHEMBL500763"
1084,"CHEMBL509129"
1085,"CHEMBL450248"
1089,"CHEMBL502992"
1090,"CHEMBL509005"
1097,"CHEMBL371402"
1098,"CHEMBL400256"
1100,"CHEMBL448747"
1110,"CHEMBL339942"
1111,"CHEMBL93142"
1113,"CHEMBL470766"
1114,"CHEMBL470980"
1116,"CHEMBL482605"
1117,"CHEMBL486058"
1123,"CHEMBL1439452"
1123,"CHEMBL3183823"
1123,"CHEMBL3186761"
1124,"CHEMBL1985398"
1126,"CHEMBL197092"
1131,"CHEMBL464306"
1133,"CHEMBL340846"
1135,"CHEMBL338242"
1139,"CHEMBL522145"
1140,"CHEMBL3822667"
1142,"CHEMBL464487"
1142,"CHEMBL517323"
1143,"CHEMBL463460"
1145,"CHEMBL1802178"
1147,"CHEMBL1641880"
1148,"CHEMBL460653"
1154,"CHEMBL207413"
1157,"CHEMBL1802044"
1158,"CHEMBL486822"
1162,"CHEMBL447689"
1177,"CHEMBL2408677"
1177,"CHEMBL3039154"
1186,"CHEMBL1489254"
1188,"CHEMBL473971"
1194,"CHEMBL472435"
1195,"CHEMBL2368526"
1197,"CHEMBL400142"
1198,"CHEMBL502734"
1202,"CHEMBL470764"
1203,"CHEMBL525210"
1204,"CHEMBL509162"
1206,"CHEMBL508998"
1207,"CHEMBL502989"
1217,"CHEMBL389958"
1220,"CHEMBL1965021"
1233,"CHEMBL461910"
1236,"CHEMBL505278"
1237,"CHEMBL481270"
1239,"CHEMBL475677"
1242,"CHEMBL374816"
1244,"CHEMBL453506"
1245,"CHEMBL504221"
1246,"CHEMBL448234"
1248,"CHEMBL3338646"
1249,"CHEMBL502128"
1255,"CHEMBL1890774"
1258,"CHEMBL3185011"
1263,"CHEMBL296237"
1264,"CHEMBL667"
1266,"CHEMBL3184025"
1268,"CHEMBL473971"
1273,"CHEMBL1396170"
1299,"CHEMBL463148"
1321,"CHEMBL1163550"
1398,"CHEMBL1727091"
1400,"CHEMBL415377"
1415,"CHEMBL3608829"
1425,"CHEMBL449308"
1440,"CHEMBL464357"
1443,"CHEMBL1233714"
1444,"CHEMBL1522321"
1447,"CHEMBL323727"
1449,"CHEMBL465644"
1474,"CHEMBL1590876"
1475,"CHEMBL288043"
1480,"CHEMBL428647"
1500,"CHEMBL1077964"
1552,"CHEMBL456938"
1566,"CHEMBL1714827"
1569,"CHEMBL1928575"
1610,"CHEMBL79834"
1617,"CHEMBL309787"
1624,"CHEMBL485981"
1638,"CHEMBL1971906"
1638,"CHEMBL3085397"
1653,"CHEMBL517337"
1654,"CHEMBL250348"
1676,"CHEMBL77514"
1683,"CHEMBL1314931"
1691,"CHEMBL504343"
1698,"CHEMBL468548"
1711,"CHEMBL516707"
1743,"CHEMBL2368597"
1767,"CHEMBL453802"
1797,"CHEMBL368741"
1813,"CHEMBL503044"
1816,"CHEMBL466139"
1822,"CHEMBL77199"
1828,"CHEMBL511941"
1829,"CHEMBL513653"
1832,"CHEMBL468345"
1841,"CHEMBL468391"
1851,"CHEMBL128080"
1860,"CHEMBL490386"
1861,"CHEMBL3264099"
1910,"CHEMBL511633"
1923,"CHEMBL513345"
2048,"CHEMBL463937"
2061,"CHEMBL3092653"
2114,"CHEMBL2069019"
2121,"CHEMBL374201"
2123,"CHEMBL222475"
2124,"CHEMBL373982"
2125,"CHEMBL222473"
2131,"CHEMBL551809"
2133,"CHEMBL501246"
2143,"CHEMBL243089"
2146,"CHEMBL25"
2151,"CHEMBL1375951"
2156,"CHEMBL2392399"
2168,"CHEMBL103"
2176,"CHEMBL2322569"
2184,"CHEMBL484847"
2199,"CHEMBL1814429"
2218,"CHEMBL508681"
2224,"CHEMBL1330502"
2224,"CHEMBL34241"
2233,"CHEMBL452477"
2236,"CHEMBL454739"
2247,"CHEMBL443462"
2249,"CHEMBL454991"
2258,"CHEMBL541939"
2260,"CHEMBL375739"
2263,"CHEMBL243161"
2264,"CHEMBL201083"
2266,"CHEMBL47807"
2267,"CHEMBL243374"
2270,"CHEMBL1512620"
2271,"CHEMBL3402767"
2272,"CHEMBL130010"
2273,"CHEMBL1345360"
2274,"CHEMBL465000"
2279,"CHEMBL1414126"
2281,"CHEMBL404719"
2283,"CHEMBL274467"
2285,"CHEMBL3187012"
2291,"CHEMBL1682931"
2292,"CHEMBL2205006"
2294,"CHEMBL3785282"
2295,"CHEMBL370925"
2299,"CHEMBL549300"
2300,"CHEMBL1589978"
2300,"CHEMBL445001"
2302,"CHEMBL914"
2306,"CHEMBL1318117"
2306,"CHEMBL3348958"
2307,"CHEMBL3185121"
2318,"CHEMBL458630"
2319,"CHEMBL115"
2320,"CHEMBL3184658"
2321,"CHEMBL1760"
2322,"CHEMBL16502"
2323,"CHEMBL65670"
2324,"CHEMBL302367"
2326,"CHEMBL348399"
2331,"CHEMBL225623"
2333,"CHEMBL321841"
2334,"CHEMBL1800270"
